State,Participant Name,Institution,Collection,Project Title,Link,Years Covered,Year of Interview,Project Overview
Georgia,"John B. Clemmons, Sr.",The History Makers,Education Makers ,"John B. Clemmons, Sr.",https://www.thehistorymakers.org/biography/john-b-clemmons-sr,1930s-1960s,2007,"The collection consists of an oral history interview with W.L. ""Bill"" Callaway on October 21, 1992 in which he discusses his family background; Atlanta's demographics; West End; Edmond Asa Ware Elementary School; the roles of Morehouse and Spelman colleges in black education before the opening of Booker T. Washington High School; C.L. Harper as a role model; the Atlanta police; desegregation of the police force; Butler street YMCA; Callaway's start in business; real estate; ""Sweet Auburn""; Citizens Trust Company Bank; downtown banks; Atlanta Life Insurance and Standard Life Insurance; William Lee Perry; Benjamin Davis; the Masonic Lodge; patronage; John Wesley Dobbs; how ""Sweet Auburn"" received its name; the Butler Street YMCA; Hungry Club; politicians courting the black vote; Herman Talmadge speaking to the Hungry Club; Roy Harris; Central Atlanta Progress; Atlanta Regional Commission; Mills B. Lane; forming the Action Forum; contributors to the Action Forum; Atlanta rising to meet its challenges; the Georgia Dome; Atlanta's power structure; and the chances of reviving Auburn Avenue"
Georgia,Dolly Adams,The History Makers,Civic Makers,Dolly Adams,https://www.thehistorymakers.org/biography/dolly-adams,1940s-1980s,2013,"Adams held numerous positions as an educator, including elementary school teacher as well as college dean and professor at the University of Michigan, Wilberforce University, Albany State College, Paul Quinn College, and Howard University School of Law. From 1982 to 1986, Adams was cited as one of the ""100 Most Influential Black Americans"" by Ebony, and Dollars & Sense named her one of the ""Top 100 Black Business and Professional Women"" in 1986 and 1987."
Georgia,Georgia Dickens,The History Makers,Education Makers,Georgia Dickens,https://www.thehistorymakers.org/biography/georgia-dickens-41,1937-1982,2005,"She graduated from Spelman College in 1942. Dickens started her career as an educator in 1942. While teaching, Dickens became heavily involved in the Atlanta community as a volunteer. She worked in the Atlanta Public Schools for forty-three years. She retired from teaching in 1982."
Georgia,"Annie Rosetta ""Rose"" Hall",The History Makers,Education Makers,"Annie Rosetta ""Rose"" Hall",https://www.thehistorymakers.org/biography/annie-rosetta-rose-hall-40,1920s-1970,2002,"For fourteen years, Hall taught in schools throughout Baldwin County and Sparta, Georgia. She returned to her hometown to take a janitorial job in the Hardwick post office. She worked there for thirty-five years. I"
Georgia,Reverend Dr. Lena McLin ,The History Makers,Music Makers ,Reverend Dr. Lena McLin,https://www.thehistorymakers.org/biography/reverend-dr-lena-mclin,1959-1980s,2005,"Her teaching career began at Hess Upper Grade Center in 1959. As music department chair of Kenwood Academy High School, McLin mentored Mandy Patinkin, Mark Rucker, Maggie Brown, Kim English and Robert ""R"" Kelly."
Georgia,Narvie Harris ,The History Makers/Howard University,Education Makers ,Narvie Harris,https://www.thehistorymakers.org/biography/narvie-harris-41,1980s-1990s,2016,Educator Narvie Harris began her career in the Georgia Public School System in a one-room school in rural Georgia. Harris rose through the educational system to become an administrator of schools in the Jeanes Supervisors Program during the 1940s.
Georgia,Primus King,Columbus State University,General Oral History Collection ,"King, Genie May 15 January 1975, transcript",https://www.columbusstate.edu/archives/findingaids/generaloralhistorycollection.php#scope,N/A,1979,N/A
Georgia,Ernestine Mack,Columbus State University,General Oral History Collection ,"Mack, Ernestine 17 March 1975, transcript",https://www.columbusstate.edu/archives/findingaids/generaloralhistorycollection.php#scope,N/A,1975,N/A
Georgia,Ethel Spencer,Columbus State University,General Oral History Collection ,"Spencer, Ethel 15 July 1975, transcript",https://www.columbusstate.edu/archives/findingaids/generaloralhistorycollection.php#scope,N/A,1975,N/A
Georgia,Elizabeth Dozier,Columbus State University,General Oral History Collection ,"Dozier, Elizabeth 16 February 1975, transcript",https://www.columbusstate.edu/archives/findingaids/generaloralhistorycollection.php#scope,N/A,1976,N/A
Georgia ,Lydia Hannan,Columbus State University,General Oral History Collection ,"Hannan, Lyda H. November 1978",https://www.columbusstate.edu/archives/findingaids/generaloralhistorycollection.php#scope,N/A,1978,N/A
Georgia ,Dr. Susie Wheeler ,Kennesaw State Univeristy ,North Georgia Oral HIstories ,Interview with Dr. Susie Wheeler https://soar.kennesaw.edu/bitstream/handle/11360/5509/wheeler-interview.pdf?sequence=1&isAllowed=y,,N/A,2000,Discusses the life of Dr. Susie Wheeler as a Jeanes teacher and her experiences obtaining her doctoral degree. 
Georgia ,Dr. Asa G. Hillard ,Simmons Univeristy ,The History Makers ,Oral History with Asa G. Hillard III,https://libcat.simmons.edu/Record/b2254645/Description,1933-2007,N/A,Discuss the life and history of Dr. Asa G. Hillard III
Georgia ,Ms. Mary Frances Earl ,Univeristy of Georgia ,UGA oral HIstory collection ,Mary Frances Earl Goin' Back: Remembering UGA Oral History Collection ,https://kaltura.uga.edu/media/t/1_obiqvk2z/73671191,N/A,2007,Dicusses the life and history of Mary Frances Earl
Georgia ,Ms. Kathleen Adams ,Harvard University ,Black Women Oral History Project interview ,,https://guides.library.harvard.edu/schlesinger_bwohp,N/A,1976,Closed until 2027
Georgia ,Ms. Norma Adams,Harvard Univeristy ,Black Women Oral History Project interview ,,https://iiif.lib.harvard.edu/manifests/view/drs:45166424$1i,,,
Georgia ,Ms. Flossie Jones ,Atlanta History Center ,Living Atlanta Oral History Collection ,Oral history interview of Flossie Jones ,https://album.atlantahistorycenter.com/digital/collection/LAohr/id/121/,1902-1997,2015,Discusses the life of Ms. Flossie Jones who was an educator in Atlanta Georgia and taught latin and music at Booker T. Washington HIghschool 
Georgia ,Ms. Mary Jenkins ,Library of Congress ,Civil Rights History Project ,Mary Jenkins Oral HIstory Project ,https://www.loc.gov/item/2015669168/,1928-2014,2013,"Discusses the life of Ms. Mary Jenkins and her childhood growing up in Albany, Georgia. She describers her education in all balck schools, attending Fisk University and becoming a teacher. "
Georgia ,Ms. Jenece Brown ,Edwardsville Highschool ,EHS Broadcasting ,Jenece Brown- First Black teacher at Edwardsville Highschool ,https://www.youtube.com/watch?v=dOIO4ZVJtMo,N/A,"May 24,2024",Discusses her 32 year long career as a teacher in Edwardsville community schools. She discusses going to colege in the 60's and being a black high school teacher. 
Georgia ,Ms. Debra Pitts ,Edwardsville Highschool ,EHS Broadcasting ,Debra Pitts- Overcoming Racial Disparities as a school adminstrator Oral history interview ,https://www.youtube.com/watch?v=-2_Dd-Dl23o,N/A,"May 24,2024",Discusses her career becoming an admistrator at Bathlato school district and racial problems she faced in her career. 
Georgia ,Mrs. Susie Scott ,Digital library of Georgia ,They Endure: A Chronicle of Courage Oral History Project ,,https://ohms.libs.uga.edu/viewer.php?cachefile=dlg/tecc/rml-ohp-002b.xml,N/A,1982,DIscusses her career as an ceducator in rural schools and her personal history. 
Georgia ,Mrs. Josetta Walker ,National Park Service ,NPS: African American Oral History Project Mrs. Josetta Walker ,,https://www.nps.gov/kemo/learn/historyculture/josettawalker.htm,N/A,"October 18,2017",Discussed the 38 year career of Mrs. Josetta Walker in Marrietta city schools in Georgia. It talks about integration and the effects it had on her career. 
Georgia ,Ms. Bazoline E. Usher ,Digital library of Georgia ,Oral History Interview with Ms. Bazoline E Usher 1972-1980,,https://dlg.usg.edu/record/geh_livatl_ahc-637-145-002,1972-1980,1972/1980,Oral history interveiw that discusses the life of Ms. BAzoline E. Usher who served as an teacher and administrator. Alumna if Atlanta Univeristy and assitant principal of Washington High School 
Georgia ,Milton Raven ,UGA,First Person Project ,Interview with Milton Raven ,https://www.russelllibraryoralhistory.org/RBRL324FPP/RBRL324FPP-0027,N/A,"December 3, 2013",This oral history project discusses the life history of Milton Raven and his life as a a teacher and principal for 30 years. 
Georgia ,Ethel H. Johnson ,UGA ,Athens Oral HIstory Project ,Interview with Ethel H. Johnson ,https://www.russelllibraryoralhistory.org/RBRL361AOHP/RBRL361AOHP-064-02,N/A,"July 16,2022",This oral history project dicusses the time that Ms. Ethel H. Johnson her assignment to teach in Athens high agtger integration. Discusses how Black teacher became less important in the role of schools. 
Georgia ,Bazoline Usher,Harvard University: Schlesinger Library,Black Women Oral History Project,"Bazoline Usher (born 1885), Atlanta, Georgia. Interviewed by: Gay Francine Banks, February 4, March 22, 1977.",https://hollisarchives.lib.harvard.edu/repositories/8/archival_objects/2485382,N/A,1977,"Teacher, educator; one of the first Black supervisors in the Atlanta public schools; assistant principal of Booker T. Washington High School (Atlanta), the first high school to be established for Blacks, in 1929; active in social and civic organizations."
Georgia ,Frankie Adams,Harvard University: Schlesinger Library,Black Women Oral History Project,"Frankie Adams (1902-1979), Atlanta, Georgia. Interviewed by: Gay Francine Banks, April 20 and 28, May 11, 1977.",https://hollisarchives.lib.harvard.edu/repositories/8/archival_objects/2485321,N/A,1977,Teacher of community organization at Atlanta University School of Social Work; industrial secretary of YWCA in Chicago; director of day care center for children of migrant families in Maryland; with National Council of Negro Women.
Goergia ,Dr. Thomas W. Cole ,SImmons Univeristy ,The History Makers ,Interview with Dr. Thomas W. Cole ,https://libcat.simmons.edu/Record/b2255550/Description#tabnav,N/A,2016,Discusses the life and history of Dr. Thomas W. cole and his educational endeavors 
Illinois,Adine Ray ,The History Makers,Education Makers ,Adine Ray ,https://www.thehistorymakers.org/biography/adine-ray-39,1919- 1970s ,2003,"Educator Adine Ray was born on July 4, 1908, in Chicago, Illinois. She spent twenty-five-years teaching seventh grade math, English, and social studies in Chicago."
Illinois,Eileen Cline,The History Makers,Music Makers,Eileen Cline,https://www.thehistorymakers.org/biography/narvie-harris-41,1940s-1990s,2006,"In 1956, Cline began her career teaching music in elementary schools in Gary, Indiana; then she moved to Boulder, Colorado where she taught piano."
Illinois,"Rebecca ""Becky"" Love",The History Makers,Education Makers,"
Rebecca ""Becky"" Love",https://www.thehistorymakers.org/biography/rebecca-becky-love-39,1960s-70s,2003,"Educator and yoga instructor Rebecca ""Becky"" Love was born on May 2, 1916 in Buffalo, New York. Love taught third-grade students at Doolittle West School on Chicago's South side for thirty-eight years."
Illinois,James Oscar Lee,The History Makers,Education Makers,James Oscar Lee,https://www.thehistorymakers.org/biography/rebecca-becky-love-39,19302-200,2003,"Following the War, in 1948 Lee worked for Chicago Public Schools as an instructor at the new Dunbar Trade School which changed to a ""vocational"" school. This meant apprenticeship programs and jobs for students were lost. After fifty-one years of teaching and numerous citations for superior performance at Dunbar, Lee retired as teacher emeritus in 1997."
Illinois,The Honorable Monique Davis,The History Makers,Education Makers,The Honorable Monique Davis,https://www.thehistorymakers.org/biography/honorable-monique-davi https://www.thehistorymakers.org/biography/honorable-monique-davis,1960s-1980s,2000,"Politician and educator Monique Dionne Davis was born on August 19, 1936, in Chicago to James and Constance McKay. In 1967, Davis began her teaching career at Gresham Elementary School in Chicago."
Illinois,Glennette Tilley Turner.,The History Makers,Education Makers,Glennette Tilley Turner.,https://www.thehistorymakers.org/biography/glennette-tilley-turner-38,1960s-1980s,2007,"She later returned to school at Goddard College to earn her M.A. degree in 1977. In 1962, Turner was hired by the Chicago public school system. She remained there for four years. In 1968, she began teaching in the Wheaton-Warrenville public schools. She remained there for the next twenty years. Turner supervised student teachers at National-Louis University."
Illinois,"Richard E. Stephenson, Jr.",The History Makers,Education Makers,"Richard E. Stephenson, Jr.",https://www.thehistorymakers.org/biography/richard-e-stephenson-jr,1950s-1990s,2002,"Stephenson began teaching in 1959 in Chicago. He quickly climbed the administrative ladder, serving first as an assistant principal at Forestville Elementary in 1962, and by the time of his retirement in 1993, interim general superintendent of Chicago Public Schools."
Illinois,Bernice Johnson,The State University of New Jersey,Krueger Scott African American Oral History Collection,Title Bernice Johnson discusses segregation on Chester Avenue,https://rucore.libraries.rutgers.edu/partnerportal/search/results.php?numresults=1&key=8Yz0Pr8Fn&start=2,1940s/1950s,2016,Bernice C. Johnson was born in Newark and worked for the board of education as a teacher and school administrator. She was married in Newark in 1947.Listen to her explain how Chester Avenue was segregated with Italians on one side and Blacks on the other.
Indiana,Hana Stith,The History Makers,Education Makers,Hana Stith,https://www.thehistorymakers.org/biography/hana-stith-39,1960s-1990s,2003,"Curator and educator Hana Louise Stith was born on August 25, 1928 in Fort Wayne, Indiana, and taught in Fort Wayne inner-city schools for thirty-six years. Stith became one of the first African Americans hired in the Fort Wayne Community Schools"
Indiana ,Hana Stith,The History Makers,Education Matters,"The HistoryMakers® Video Oral History Interview with Hana Stith,",https://www.thehistorymakers.org/sites/default/files/A2002_136_EAD.pdf,1960-200s,2002,"Hana Stith was born on August 25, 1928 in Fort Wayne, Indiana. She spent 36 years teaching there, mostly in inner city schools where she felt her skills were most needed. She earned respect for her teaching skills and her compassion for children.
Stith joined the junior branch of the NAACP before graduating from Central High School in 1946. She received a scholarship from the Fourth District Lay Organization of the African Methodist Episcopal Church and used it to attend religiously affiliated Wilberforce College in Wilberforce, Ohio, the first institution of higher education owned and operated by African Americans. A dispute between church and state caused Wilberforce to temporarily lose its accreditation and Stith finished her education at St. Francis College. She earned both her bachelor's and master's degrees there and was certified by Purdue University in guidance and counseling.
When Stith became a teacher in 1960, she was one of the first African Americans hired in the Fort Wayne Community Schools. She spent 22 years as a classroom teacher and then became a Title I teacher, instructing students who needed individual attention in reading and math. She retired from teaching in 1996 and became a docent for the Lincoln Museum as well as a board member of the local NAACP chapter. She co-founded the African/African American Historical Society in 1998. In 1999, she found a home for the African/African American Historical Museum in Fort Wayne, Indiana. After the museum opened on February 1, 2000, it soon became recognized as the premier museum of African American history in Indiana. She serves as president of the society and curator of the museum."
Iowa,Nelson Evans,African American Meseum of Iowa,Civil Rights in Linn County,Nelson Evans,https://blackiowa.org/aiovg_videos/nelson-evans/,1960s-1997,2015,"Born in Chicago, Nelson Evans came to Iowa to attend Upper Iowa University. He grew to love Cedar Rapids after visiting the Oak Hill Jackson community with fellow classmates. After graduating in 1964, Nelson was hired by the Cedar Rapids Community School District and became its first African American teacher. Over the years, he rose in the ranks of the school system from teacher to principal and finally, the Executive Director of Elementary and Secondary School Education, a position from which he retired in 1998. He was inducted into the Iowa African-American Hall of Fame in 1997.

This video is from the oral history project “Civil Rights in Linn County,” conducted in 2015 with the assistance of a grant from the Linn County Historic Preservation Commission."
Kentucky,Jeffrey Hampton,Northern Kentucky University,Eva G. Farris Special Collections,"JEFFREY HAMPTON MANUSCRIPT ON AFRICAN AMERICAN EDUCATION IN COVINGTON, KENTUCKY",https://inside.nku.edu/library/find/unique-collections/special-collections-archives/alphabeticallist/jeffrey-hampton.html,1980s-2000s,2009,"Paper and digital typescript manuscript drafts for Leaving Children Behind: Black Education in Covington, Kentucky by Jeffrey Hampton and three handwritten transcripts of oral history interviews Hampton conducted during his research for the book."
Kentucky,Phyllis Mattingly,Kentucky Historical Society,Kentucky Oral History Collection,African American Heritage of Campbellsville and Taylor County Oral History Project,https://search.worldcat.org/title/798438274,N/A,2006,"Mattingly discusses growing up on a farm, her mother being the first black teacher hired, riding the school bus, school integration, Union Underwear closing, Joe's Dog & Suds, and segregated restrooms"
Kentucky,Audrey Grevious,The History Makers,Education Makers ,Audrey Grevious,https://www.thehistorymakers.org/biography/audrey-grevious-39,1940s,2002,Much of her career was divided between serving as principal at Kentucky Village and teaching in the Fayette County School District.
Kentucky,Sanford T. Roach,The History Makers,Education Makers ,Sanford T. Roach,https://sultan.tnstate.edu/search~S3?/X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D/X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D&SUBKEY=%22teacher%22+and+%22oral+history%22/37%2C165%2C165%2CB/frameset&FF=X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D&37%2C37%2C,1960s,2002,"At Danville Bate as teacher and basketball coach, he compiled a 98-24 record. In twenty-two years as head coach at Lexington's all-black Paul Laurence Dunbar High School, he led the Bearcats to a 512-142 record. He retired from the sport when his first wife Mary died unexpectedly in 1965. He later became the first black principal of an integrated elementary school in Lexington and the first black principal of a Fayette County secondary school."
Kentucky,Roy M. Chappell,The History Makers,Education Makers ,Roy M. Chappell,https://sultan.tnstate.edu/search~S3?/X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D/X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D&SUBKEY=%22teacher%22+and+%22oral+history%22/49%2C165%2C165%2CB/frameset&FF=X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D&53%2C53%2C,1940s-1980s,2002,"In 1945, Chappell was one of the black officers arrested for trying to integrate a segregated officers club in what would be known as the Freeman Field Mutiny. After the war, he became a teacher and guidance counselor in Chicago for thirty years. He retired in 1985."
Kentucky,Lyman T. Johnson,University of Louisville,Oral History Center,,https://ohc.library.louisville.edu/ohms/viewer.php?cachefile=167_johnson.xml#page-2,1976-1990,1976,"Topics include: African American educators; Segregation in higher education; Civil rights workers; African Americans--Education (Higher); Milburn, William S.; Race relations; University of Kentucky; Louisville Municipal College for Negroes (Louisville, Ky.)"
Kentucky,Charles Henry Parrish,University of Louisville,Oral History Center,,https://ohc.library.louisville.edu/ohms/viewer.php?cachefile=206-210_parrish.xml#page-3,1974-1977,1977,Topics include: KNEA and NEA; school desegregation in KY; higher education for Negroes; Louisville Municipal College; integraton of the University of Louisville
Kentucky,Woodford Porter,University of Louisville,Oral History Center,,https://ohc.library.louisville.edu/ohms/viewer.php?cachefile=223-224_porter.xml#page-8,1918-1977,1977,Porter discusses his learning experience in segregated schools and his time on the Louisville school board as a donor and proponent of educational equality for black students
Kentucky,Thomas Fountain Blue,University of Kentucky,Louie B. Nunn Center for Oral History––University of Kentucky Libraries,Black People in Louisville Oral History Project,,,1976,"No description provided, but likely includes Blue's commentary on the library sciences and early 20th century public library movement in Louisville"
Kentucky,Anne Braden,University of Louisville,Oral HIstory Center,,https://ohc.library.louisville.edu/ohms/viewer.php?cachefile=2002_001_13-15_braden.xml#page-1,"Civil Rights Period, mid-1950s-1960s",2001,"Braden speaks at length about her experiences as a provocateur for Civil Rights in Louisville, including her analysis on the the sense of community and quality of education in segregated black schools prior to desegregation"
Kentucky,Susan St. Clair Minor,University of Louisville,Oral History Center,,https://ohc.library.louisville.edu/ohms/viewer.php?cachefile=343_minor.xml,~1899-1968,1977,"St. Clair discusses her experiences graduating from Central Colored High School, attending Louisville Normal School (segregated, founded in 1890), and the responsibility black teachers acecpted to promote racial uplift among Negroes. "
Kentucky,Sarah C. Newby,University of Kentucky,Louie B. Nunn Center for Oral History––University of Kentucky Libraries,The African American Experience Oral History Project,https://kentuckyoralhistory.org/ark:/16417/xt7gqn5z8t7d,~1950s-1990s,1998,"Newby speaks to her experiences at Paul Laurence Dunbar (the segregated high school in Lexington, KY) and how the school prepared her to be among the first black students to integrate the University of Kentucky"
Kentucky,Eleanor Young Love,University of Louisville,Oral History Center,,https://ohc.library.louisville.edu/ohms/viewer.php?cachefile=646-647_love.xml,~1912-1970s,1978,"Eleanor, the daughter of Whitney Young Sr., speaks to the academic and cultural posture of the Lincoln Institute under her father's tenure as president at the school."
Kentucky,William H. Perry Jr.,University of Kentucky,Louie B. Nunn Center for Oral History––University of Kentucky Libraries,Black People in Louisville Oral History Project,https://kentuckyoralhistory.org/ark:/16417/xt7228050z52,N/A,1976,"Educator at Central Colored School beginning in 1877 and long time Secretary-Treasurer of the Kentucky Negro Educational Association, Perry's name and contributions are regularly listed in many of the mid-20th century KNEA journals. "
Kentucky,Ben Shobe,University of Louisville,Oral History Center,,https://ohc.library.louisville.edu/ohms/viewer.php?cachefile=2002_001_121-122_shobe.xml,~1941-1950s,1999,"Decorated NAACP lawyer and Kentucky native, Shobe details the particularly notable memory of seeing crosses burned by the KKK in Frankfort during his time as a student at Kentucky State University and more"
Kentucky,William Steward Nelson,University of Kentucky ,The Robert Penn Warren Oral History Archive,WILLIAM STUART NELSON,https://www.nunncenter.net/robertpennwarren/items/show/102,1895-1977,2002,"William Stuart Nelson (1895-1977), an African American educator and theologian, was born in Paris, Kentucky. After moving to Paducah, Kentucky and graduating from Lincoln High School, Paducah built and named a park after Nelson, Stuart Nelson Park, in the 1940s. During World War I, Nelson joined the Army and earned the rank of combat officer in the Second Army's 92nd division. In 1920, Nelson graduated from Howard University in Washington, D.C. with a bachelor of arts degree. In 1924, he graduated from Yale University with a bachelor of divinity degree. Nelson also studied in Paris, France at the Sorbonne and the Protestant Theological Seminary. In 1924, after graduating from Yale, Nelson began teaching philosophy at Howard University and became an assistant to the president. After leaving Howard, he became president of Shaw University in Raleigh, North Carolina and then became president of Dillard University in New Orleans. In 1940, Nelson returned to Howard to serve as dean and became vice president in 1961. While at Howard he started the Journal of Religious Thought and retired in 1968.

Nelson begins the interview by describing a recent trip to Africa and his discussion with an African political leader of Southern Rhodesia, [Sitole], regarding the nonviolence philosophy. Nelson furthers the discussion by providing his opinion on the strategy of nonviolence being used within the civil rights movement. African American history and the African American history movement are also discussed in terms of a social context. Nelson and Warren then revisit the influence of slavery on identity, discussing the white Southerner and his struggle to defend his identity within his culture. Nelson discusses the influence his travels had on his writings and his thesis expressing his opinion that is necessary for African Americans to view their problems in a world context. Nelson restates his interest in the philosophy of nonviolence and describes his participation in the nonviolent March on Washington in 1941. The interview concludes with a brief discussion of the effects of the civil rights movement on the youth who are devoted to it and Nelson's observations on the division in civil rights leadership."
Kentucky,James S. Way,Eastern Kentucky University,WILLIAM H. BERGE ORAL HISTORY CENTER,INTERVIEW WITH JAMES S. WAY,https://oralhistory.eku.edu/items/show/9144,N/A,1993,"A graduate of Bannaker High School in Cynthiana, KY, James Way obtained his Bachelor's degree from Wilberforce University and his Master's degree from EKU. Way began his teaching career in Cynthiana, eventually moving to EKU and becoming the first African American teacher at the University. He provides an overview of his family background and his active participation with many different boards and committees such as being the Chairman of Disciplinary Committee. Mr. Way discusses the black community in Richmond, KY, church, and retirement. He concludes the interview sharing memories of his youth."
Kentucky,Marian Tribble,Eastern Kentucky University,WILLIAM H. BERGE ORAL HISTORY CENTER,INTERVIEW WITH MARIAN TRIBBLE CURRY,https://oralhistory.eku.edu/items/show/9124,N/A,1992,"Marian Tribble Curry, a retired school teacher from Richmond City Schools discusses her educational background, her family background, and her church membership and activities. She speaks about the many social organizations in the African American community such as The Colored Ladies Art Club and the activities that take place at the Telford Community Center. Marian Curry concludes this interview by explaining her role and membership in several religious organizations and her participation in taking inventory at the Maple Grove Cemetery."
Kentucky,Virginia Shaw,Eastern Kentucky University,WILLIAM H. BERGE ORAL HISTORY CENTER,INTERVIEW WITH VIRGINIA SHAW,https://oralhistory.eku.edu/items/show/7723,N/A,1993,"Retired Teacher, EKU Alumni"
Louisana ,Llewellyn W. Williamson,University of Kentucky,Sue Eakin Louisiana History: Black History Oral History Project,Interview with Llewellyn Williamson ,https://kentuckyoralhistory.org/ark:/16417/xt718911r95t,N/A,1974,African American educators African American schools African Americans Arkansas Education John Williamson Dr. Llewellyn W. Williamson
Louisana ,Sarah Van Dyke,University of Kentucky,Sue Eakin Louisiana History: Black History Oral History Project,"Interview with Sarah Van Dyke, August 12, 1975",https://kentuckyoralhistory.org/ark:/16417/xt7gqn5z8v0v,N/A,1975,African American teachers African Americans Louisiana Social life and customs
Louisana ,George Baldwin,University of Kentucky,Sue Eakin Louisiana History: Black History Oral History Project,Interview with George Baldwin,https://kentuckyoralhistory.org/ark:/16417/xt7n028pg59d,N/A,N/A,African Americans Education Louisiana social conditions
Louisana ,Dr. Tom Arceneaux,National Endowment for the Humanities,Historians of Louisana Project ,Dr. Tom Arceneaux,https://nwla-archives.org/guide/oha.htm,N/A,1979,Tom Arceneaux was a teacher in West Baton Rouge Parish who directed a program for students to interview their family members and members of their community about each student’s personal heritage.
Louisana ,Herman Carter,Stanford,Stanford Digital Repository,Oral history interview with Herman Carter,https://purl.stanford.edu/dh125pj7047,N/A,1965,"Oral history interview with Herman Carter, African-American, male, Member of SSOC and possibly SNCC, working for CORE, 0213 (side 1), Baton Rouge, Louisiana. 0213"
Louisana ,Fidelia Johnson,Havard Radcliffe Institute ,Schlesinger Library on the History of Women in America ,,https://guides.library.harvard.edu/schlesinger_bwohp,1900-1970,1979,"Teacher in rural schools of Louisiana; involved at local and national level in National Education Association and other teacher associations; her father was founder of Grambling State University, and she taught there for a while."
Louisana ,George E. Mencer,Lousiana State University,,"George E. Mencer, Jr. oral history interview, 1995",https://search.worldcat.org/title/907959597,1946-1970,1995,"Mencer recalls his time as a student at McKinley High School from 1933 to 1937 and his experience as a P.E. teacher and coach at the school from 1946 to 1960. He discusses high schools for African Americans in the Baton Rouge area; his career as a teacher, coach, and principal; and notable teachers and graduates of McKinley"
Louisiana,J.K. Haynes,University of Louisiana at Lafayette,,"Haynes, J.K. ( - ). Interview, 1976",https://archivesspace.louisiana.edu/repositories/2/archival_objects/42940,N/A,1976,"Typescript of interview of J. K. Haynes, Executive Secretary of the Louisiana Education Association by Doris White, USL graduate student."
Louisiana,"Albert Charles Odell, Sr. ",Louisiana State University,Louisiana and Lower Mississippi Valley Collections,McKinley High School Oral History Project,https://search.worldcat.org/title/907959600,1940s-1990s,1998,"Odell touches on many topics in this interview, including the politics of the Louisiana State Board of Education, being the first black teacher in Torrance, California..."
Louisiana,Armond Brown,Louisiana State University,Louisiana and Lower Mississippi Valley Collections,McKinley High School Oral History Project,https://search.worldcat.org/title/104625430,1967-2002,2002,"Armond Brown born April 14, 1954; went to Capital High, a McKinley High rival; was asked to
leave Belaire for McKinley High; came to McKinley high as an Athletic Director and Head
football coach under Principal Charlie Thomas from January to May; was offered Assistant
Principal position during the summer; attended Southern University as a linebacker on the football
team from 72'-76'; did not get drafted for professional football and fell back on education; taught at
Scotlandville High School; left during Scotlandville switch to Magnet status due to loss of
football program; went to Belaire High School then to McKinley; richness of South Baton Rouge;
working for Mr. Sampson Carroll; the youth not knowing the richness; losing the traditions that
used to be passed down; South Baton Rouge’s great pastors, like Rev. Charles T. Smith and T. J.
Jemison; enjoying the Ann and Temple Theatres; being connected with the McKinley Oral History
project since he was Asst. Principal at McKinley; supports the project due to his learning more
about the South Baton Rouge community through the process; the project impacts the community
by connecting the generations; McKinley High has positive involvement; the students gain a sense
of community; personally enjoying seeing the seasoned people talking to the students; hesitant and
not knowing what to expect from the Oral History project; wanting to know why, how, and to what
extent the histories would be collected; no misinterpretations with the project's goals or ideas;
suggesting interviewing George W. Eames"
Louisiana,Charles Vincent,Louisiana State University,McKinley High School Oral History Project – History of McKinley High School,Charles Vincent,https://liblegacy.lsu.edu/sites/all/files/oralhistory/abstracts/mckinley/5_social/Vincent_Charles_T3192.abs.pdf, 1860s-1960s,1995,"Born in Hazlehurst, Mississippi, October 19, 1945; currently lives in Baker, Louisiana; has lived in Baton Rouge area since 1966; South Baton Rouge is a very dynamic, diverse, progressive community; Vincent teaches history at Southern University; blessed with wonderful family; death of Emmett Till made him face raw racism; educational background; has three children with wife Delores; treating whites with deference while growing up in Southwest Mississippi; witnessing a policeman kill an African American man in 1957; more on Emmett Till murder; desegregation efforts of 1967; whites not understanding why he was dissatisfied with the way they treated him; his family tried to stay away from whites when possible; Vincent is currently more optimistic about the integrity of police than he was in 1960s; incidents with police on Southern University campus in late 1960s; North Street incident of 1972; has always favored nonviolence as more Christ-like; mourns violent deaths of African American leaders in fifties and sixties; everyday racism while Vincent was an LSU student; 1972 incident at Southern where two students were killed by police; police force exonerated; faculty support of students at Southern; turbulent era from 1968 to 1972; birth of a faculty senate at Southern that had a say in the administration at the university; Southern president Jesse Stone more aware of students’ concerns than his predecessors; after such a tragic incident, people think of how to prevent future tragedies."
Louisiana,Eunice Paddio-Johnson,Louisiana State University,,Eunice Paddio-Johnson,https://www.lib.lsu.edu/sites/all/files/oralhistory/abstracts/civilrights/Paddio-Johnson_Eunice.pdf,1940s-1970s,1998,"Eunice Paddio-Johnson discusses her memories of racism as a child and as an adult, her education and teaching in segregated schools in Saint Helena Parish, efforts to register black voters, her experience as the first black member of the Saint Helena Parish School Board, the roles of the Freemasons and Order of the Eastern Star in the civil rights movement, the Louisiana Education Association, and her work with various civic associations."
